Course,Number,Prefix,Prof_Name (Assigned Dept-College),Enrolled ,A,B,C,D,F,W,I ,*,P,F
BIOE,9910,,Harman Melinda K (0905-CECAS),4, #,#,#,#,#,#,#,#,#,#
BIOE,9910,,Laberge Martine  (0905-CECAS),3, #,#,#,#,#,#,#,#,#,#
BIOE,9910,,Lee JeoungSoo  (0905-CECAS),2, #,#,#,#,#,#,#,#,#,#
BIOE,9910,,Mei Ying  (0905-CECAS),4, #,#,#,#,#,#,#,#,#,#
BIOE,9910,,Mercuri Jeremy J (0905-CECAS),3, #,#,#,#,#,#,#,#,#,#
BIOE,9910,,Nagatomi Jiro  (0905-CECAS),1, #,#,#,#,#,#,#,#,#,#
BIOE,9910,,Richardson William J (0905-CECAS),4, #,#,#,#,#,#,#,#,#,#
BIOE,9910,,Simionescu Agneta  (0905-CECAS),3, #,#,#,#,#,#,#,#,#,#
BIOE,9910,,Simionescu Dan T (0905-CECAS),2, #,#,#,#,#,#,#,#,#,#
BIOE,9910,,Singapogu Ravikiran Bhaskar (0905-CECAS),1, #,#,#,#,#,#,#,#,#,#
BIOE,9910,,Vertegel Alexey Alexandrovich (0905-CECAS),2, #,#,#,#,#,#,#,#,#,#
BIOE,9910,,Vyavahare Narendra R (0905-CECAS),4, #,#,#,#,#,#,#,#,#,#
BIOE,9910,,Webb Charles K (0905-CECAS),2, #,#,#,#,#,#,#,#,#,#
BIOE,9910,,Yao Hai  (0905-CECAS),7, #,#,#,#,#,#,#,#,#,#
BIOE,9910,,Ye Tong  (0905-CECAS),2, #,#,#,#,#,#,#,#,#,#
BIOE,9910,,Zhang Guigen  (0905-CECAS),2, #,#,#,#,#,#,#,#,#,#
""
AUE,4010,,Haque Imtiaz Ul (0926-CECAS),10, 30.00,50.00,10.00,0,10.00,0,0,0,0,0
AUE,4030,,Ivanco Andrej  (0926-CECAS),10, 80.00,10.00,10.00,0,0,0,0,0,0,0
AUE,6010,,Haque Imtiaz Ul (0926-CECAS),4, #,#,#,#,#,#,#,#,#,#
AUE,8180,,Prucka Robert G (0926-CECAS),28, 92.86,7.14,0,0,0,0,0,0,0,0
AUE,8260,,Pisu Pierluigi  (0926-CECAS),35, 34.29,54.29,11.43,0,0,0,0,0,0,0
AUE,8270,,Ayalew Beshah  (0926-CECAS),35, 74.29,25.71,0,0,0,0,0,0,0,0
AUE,8280,,Prucka Robert G (0926-CECAS),31, 61.29,25.81,12.90,0,0,0,0,0,0,0
AUE,8330,,Mears Michael L (0926-CECAS),74, 17.57,74.32,8.11,0,0,0,0,0,0,0
AUE,8350,,Jia Yunyi  (0926-CECAS),71, 69.01,30.99,0,0,0,0,0,0,0,0
AUE,8650,,Pilla Srikanth  (0926-CECAS),15, 93.33,6.67,0,0,0,0,0,0,0,0
