Course,Number,Prefix,Prof_Name (Assigned Dept-College),Enrolled ,A,B,C,D,F,W,I ,*,P,F
BIOL,4940,,Baeza Migueles Juan Antonio (0314-CSCI),3, #,#,#,#,#,#,#,#,#,#
BIOL,4940,,Bielenberg Douglas G (0314-CSCI),8, #,#,#,#,#,#,#,#,#,#
BIOL,4940,,Blob Richard W. (0314-CSCI),3, #,#,#,#,#,#,#,#,#,#
BIOL,4940,,Chapman Susan Caroline (0314-CSCI),2, #,#,#,#,#,#,#,#,#,#
BIOL,4940,,Childress Michael J (0314-CSCI),1, #,#,#,#,#,#,#,#,#,#
BIOL,4940,,Damrel Dixie Zank (0314-CSCI),1, #,#,#,#,#,#,#,#,#,#
BIOL,4940,,Dong Yuqing  (0314-CSCI),7, #,#,#,#,#,#,#,#,#,#
BIOL,4940,,Gallicchio Vincent S (0314-CSCI),6, #,#,#,#,#,#,#,#,#,#
BIOL,4940,,Hains John Jenkins (0314-CSCI),6, #,#,#,#,#,#,#,#,#,#
BIOL,4940,,Mount Andrew S (0314-CSCI),6, #,#,#,#,#,#,#,#,#,#
BIOL,4940,,Powder Kara Elizabeth (0314-CSCI),2, #,#,#,#,#,#,#,#,#,#
BIOL,4940,,Ptacek Margaret  (0314-CSCI),3, #,#,#,#,#,#,#,#,#,#
BIOL,4940,,Rapaport Lisa G (0314-CSCI),1, #,#,#,#,#,#,#,#,#,#
BIOL,4940,,Sears Michael W (0314-CSCI),8, #,#,#,#,#,#,#,#,#,#
BIOL,4940,,Temesvari Lesly  (0801-CSCI),8, #,#,#,#,#,#,#,#,#,#
BIOL,4940,,Turnbull Matthew W (0314-CSCI),7, #,#,#,#,#,#,#,#,#,#
BIOL,4940,,Wei Yanzhang  (0314-CSCI),1, #,#,#,#,#,#,#,#,#,#
BIOL,4940,,Yu Xianzhong  (0314-CSCI),6, #,#,#,#,#,#,#,#,#,#
BIOL,4940,H,Chapman Susan Caroline (0314-CSCI),4, #,#,#,#,#,#,#,#,#,#
BIOL,4940,H,Powder Kara Elizabeth (0314-CSCI),3, #,#,#,#,#,#,#,#,#,#
BIOL,4940,H,Rapaport Lisa G (0314-CSCI),1, #,#,#,#,#,#,#,#,#,#
BIOL,4940,H,Wei Yanzhang  (0314-CSCI),2, #,#,#,#,#,#,#,#,#,#
BIOL,4940,H,Yu Xianzhong  (0314-CSCI),1, #,#,#,#,#,#,#,#,#,#
BIOL,4950,,Blob Richard W. (0314-CSCI),12, 100.00,0,0,0,0,0,0,0,0,0
BIOL,4950,,Cummings John R (0314-CSCI),16, 100.00,0,0,0,0,0,0,0,0,0
BIOL,4950,,Dittrich-Reed Dylan Robert (0314-CSCI),13, 100.00,0,0,0,0,0,0,0,0,0
BIOL,4950,,Gallicchio Vincent S (0314-CSCI),2, #,#,#,#,#,#,#,#,#,#
BIOL,4950,,McNutt-Scott Tamara L. (0314-CSCI),20, 100.00,0,0,0,0,0,0,0,0,0
BIOL,4950,,Richards Vincent Paul (0314-CSCI),1, #,#,#,#,#,#,#,#,#,#
BIOL,4960,,Rice Charles D (0314-CSCI),2, #,#,#,#,#,#,#,#,#,#
BIOL,4970,,Gallicchio Vincent S (0314-CSCI),7, #,#,#,#,#,#,#,#,#,#
BIOL,6030,,Richards Vincent Paul (0314-CSCI),10, 60.00,20.00,10.00,0,0,0,10.00,0,0,0
BIOL,6200,,Feliciano David M (0314-CSCI),1, #,#,#,#,#,#,#,#,#,#
BIOL,6410,,Hains John Jenkins (0314-CSCI),1, #,#,#,#,#,#,#,#,#,#
BIOL,6430,,Hains John Jenkins (0314-CSCI),1, #,#,#,#,#,#,#,#,#,#
BIOL,6560,,Milhous Wilbur Kearse (0314-CSCI),1, #,#,#,#,#,#,#,#,#,#
BIOL,6610,,Chapman Susan Caroline (0314-CSCI),3, #,#,#,#,#,#,#,#,#,#
BIOL,6620,,Yu Xianzhong  (0314-CSCI),1, #,#,#,#,#,#,#,#,#,#
BIOL,8070,,Blob Richard W. (0314-CSCI),2, #,#,#,#,#,#,#,#,#,#
BIOL,8070,,DeWalt Saara J (0314-CSCI),14, 0,0,0,0,0,0,0,0,100.00,0
BIOL,8070,,Dong Yuqing  (0314-CSCI),5, #,#,#,#,#,#,#,#,#,#
BIOL,8070,,Rapaport Lisa G (0314-CSCI),5, #,#,#,#,#,#,#,#,#,#
BIOL,8070,,Rice Charles D (0314-CSCI),6, #,#,#,#,#,#,#,#,#,#
BIOL,8070,,Sears Michael W (0314-CSCI),5, #,#,#,#,#,#,#,#,#,#
BIOL,8120,,Sears Michael W (0314-CSCI),30, 0,0,0,0,0,0,0,0,100.00,0
BIOL,8130,,Cummings John R (0314-CSCI),27, 0,0,0,0,0,0,0,0,100.00,0
BIOL,8400,,Childress Michael J (0314-CSCI),108, 91.67,4.63,0.93,0,0.93,0.93,0.93,0,0,0
BIOL,8420,,Tate Patricia Leota (0743-CBSHS),140, 63.57,30.71,5.00,0,0.71,0,0,0,0,0
BIOL,8440,,Baldwin William S (0314-CSCI),109, 64.22,28.44,3.67,0,3.67,0,0,0,0,0
BIOL,8480,,Ballard Robert Edward (0314-CSCI),36, 100.00,0,0,0,0,0,0,0,0,0
BIOL,8710,,Ballard Robert Edward (0314-CSCI),8, #,#,#,#,#,#,#,#,#,#
BIOL,8710,,Dou Zhicheng  (0314-CSCI),9, #,#,#,#,#,#,#,#,#,#
BIOL,8710,,Rice Charles D (0314-CSCI),1, #,#,#,#,#,#,#,#,#,#
BIOL,8910,,Baeza Migueles Juan Antonio (0314-CSCI),1, #,#,#,#,#,#,#,#,#,#
BIOL,8910,,Blob Richard W. (0314-CSCI),2, #,#,#,#,#,#,#,#,#,#
BIOL,8910,,Childress Michael J (0314-CSCI),1, #,#,#,#,#,#,#,#,#,#
BIOL,8910,,DeWalt Saara J (0314-CSCI),1, #,#,#,#,#,#,#,#,#,#
BIOL,8910,,Parkinson Christopher L (0314-CSCI),1, #,#,#,#,#,#,#,#,#,#
BIOL,8910,,Ptacek Margaret  (0314-CSCI),1, #,#,#,#,#,#,#,#,#,#
BIOL,8910,,Rice Charles D (0314-CSCI),2, #,#,#,#,#,#,#,#,#,#
BIOL,8910,,Temesvari Lesly  (0801-CSCI),2, #,#,#,#,#,#,#,#,#,#
BIOL,8910,,Wei Yanzhang  (0314-CSCI),1, #,#,#,#,#,#,#,#,#,#
BIOL,9910,,Baldwin William S (0314-CSCI),1, #,#,#,#,#,#,#,#,#,#
BIOL,9910,,Blob Richard W. (0314-CSCI),2, #,#,#,#,#,#,#,#,#,#
BIOL,9910,,Childress Michael J (0314-CSCI),1, #,#,#,#,#,#,#,#,#,#
BIOL,9910,,DeWalt Saara J (0314-CSCI),2, #,#,#,#,#,#,#,#,#,#
BIOL,9910,,Dong Yuqing  (0314-CSCI),2, #,#,#,#,#,#,#,#,#,#
BIOL,9910,,Feliciano David M (0314-CSCI),2, #,#,#,#,#,#,#,#,#,#
BIOL,9910,,Parkinson Christopher L (0314-CSCI),3, #,#,#,#,#,#,#,#,#,#
BIOL,9910,,Richards Vincent Paul (0314-CSCI),2, #,#,#,#,#,#,#,#,#,#
BIOL,9910,,Scott Thomas R (0311-CAFLS),1, #,#,#,#,#,#,#,#,#,#
BIOL,9910,,Sears Michael W (0314-CSCI),3, #,#,#,#,#,#,#,#,#,#
BIOL,9910,,Wei Yanzhang  (0314-CSCI),3, #,#,#,#,#,#,#,#,#,#
ETOX,4300,,Bain Lisa J (0314-CSCI),10, 30.00,10.00,50.00,10.00,0,0,0,0,0,0
ETOX,6300,,Bain Lisa J (0314-CSCI),5, #,#,#,#,#,#,#,#,#,#
ETOX,8610,,Van den Hurk Peter  (0314-CSCI),10, 0,0,0,0,0,0,0,0,100.00,0
ETOX,8910,,White Sarah A (0310-CAFLS),1, #,#,#,#,#,#,#,#,#,#
ETOX,9910,,Bain Lisa J (0314-CSCI),1, #,#,#,#,#,#,#,#,#,#
ETOX,9910,,Baldwin William S (0314-CSCI),2, #,#,#,#,#,#,#,#,#,#
ETOX,9910,,Kitchens Christopher L (0909-CECAS),1, #,#,#,#,#,#,#,#,#,#
ETOX,9910,,Lee Cindy M (0919-CECAS),2, #,#,#,#,#,#,#,#,#,#
ETOX,9910,,Van den Hurk Peter  (0314-CSCI),5, #,#,#,#,#,#,#,#,#,#
ETOX,9910,,White Sarah A (0310-CAFLS),1, #,#,#,#,#,#,#,#,#,#
MICR,2050,,Abercrombie John G (0314-CSCI),154, 55.19,39.61,3.90,0.65,0,0.65,0,0,0,0
MICR,3050,,Rudolph Krista Barrier (0314-CSCI),372, 40.05,40.32,13.71,3.49,0.81,1.34,0.27,0,0,0
MICR,4010,,Campbell Barbara J (0314-CSCI),71, 22.54,50.70,18.31,2.82,2.82,2.82,0,0,0,0
MICR,4010,H,Campbell Barbara J (0314-CSCI),6, #,#,#,#,#,#,#,#,#,#
MICR,4050,,Whitehead Kristi James (0314-CSCI),28, 64.29,32.14,3.57,0,0,0,0,0,0,0
MICR,4050,H,Whitehead Kristi James (0314-CSCI),4, #,#,#,#,#,#,#,#,#,#
MICR,4140,,Wei Yanzhang  (0314-CSCI),41, 43.90,36.59,9.76,2.44,7.32,0,0,0,0,0
MICR,4140,H,Wei Yanzhang  (0314-CSCI),4, #,#,#,#,#,#,#,#,#,#
MICR,4150,,Cao Min  (0314-CSCI),66, 22.73,31.82,25.76,19.70,0,0,0,0,0,0
MICR,4150,H,Cao Min  (0314-CSCI),3, #,#,#,#,#,#,#,#,#,#
MICR,4160,,Scott Simon W (0314-CSCI),100, 95.00,4.00,0,0,0,1.00,0,0,0,0
MICR,4160,H,Scott Simon W (0314-CSCI),15, 100.00,0,0,0,0,0,0,0,0,0
MICR,4510,,Kurtz Harry D. (0314-CSCI),63, 61.90,38.10,0,0,0,0,0,0,0,0
MICR,4560,,Milhous Wilbur Kearse (0314-CSCI),1, #,#,#,#,#,#,#,#,#,#
MICR,4910,,Abercrombie John G (0314-CSCI),10, 100.00,0,0,0,0,0,0,0,0,0
MICR,4910,,Richards Vincent Paul (0314-CSCI),4, #,#,#,#,#,#,#,#,#,#
MICR,4910,,Scott Simon W (0314-CSCI),1, #,#,#,#,#,#,#,#,#,#
MICR,4910,,Tzeng Tzuen-Rong Jeremy (0314-CSCI),1, #,#,#,#,#,#,#,#,#,#
MICR,4910,,Whitehead Kristi James (0314-CSCI),2, #,#,#,#,#,#,#,#,#,#
MICR,4910,H,Booth Brian William (0905-CECAS),1, #,#,#,#,#,#,#,#,#,#
MICR,4910,H,Finneran Kevin Thomas (0919-CECAS),1, #,#,#,#,#,#,#,#,#,#
MICR,4910,H,Jiang Xiuping  (0316-CAFLS),2, #,#,#,#,#,#,#,#,#,#
MICR,4910,H,Temesvari Lesly  (0801-CSCI),1, #,#,#,#,#,#,#,#,#,#
MICR,4910,H,Tzeng Tzuen-Rong Jeremy (0314-CSCI),1, #,#,#,#,#,#,#,#,#,#
MICR,4910,H,Whitehead Kristi James (0314-CSCI),2, #,#,#,#,#,#,#,#,#,#
MICR,4930,,Gallicchio Vincent S (0314-CSCI),4, #,#,#,#,#,#,#,#,#,#
MICR,4930,,Henson John Michael (0314-CSCI),13, 100.00,0,0,0,0,0,0,0,0,0
MICR,4930,,Rudolph Krista Barrier (0314-CSCI),14, 100.00,0,0,0,0,0,0,0,0,0
MICR,4930,,Whitehead Kristi James (0314-CSCI),15, 100.00,0,0,0,0,0,0,0,0,0
MICR,4940,,Campbell Barbara J (0314-CSCI),6, #,#,#,#,#,#,#,#,#,#
MICR,4940,,Cao Min  (0314-CSCI),4, #,#,#,#,#,#,#,#,#,#
MICR,4940,,Dou Zhicheng  (0314-CSCI),1, #,#,#,#,#,#,#,#,#,#
MICR,4940,,Kurtz Harry D. (0314-CSCI),3, #,#,#,#,#,#,#,#,#,#
MICR,4940,,Whitehead Kristi James (0314-CSCI),5, #,#,#,#,#,#,#,#,#,#
MICR,4940,H,Campbell Barbara J (0314-CSCI),1, #,#,#,#,#,#,#,#,#,#
MICR,4940,H,Cao Min  (0314-CSCI),3, #,#,#,#,#,#,#,#,#,#
MICR,4940,H,Dong Yuqing  (0314-CSCI),1, #,#,#,#,#,#,#,#,#,#
MICR,4940,H,Dou Zhicheng  (0314-CSCI),2, #,#,#,#,#,#,#,#,#,#
MICR,4940,H,Tzeng Tzuen-Rong Jeremy (0314-CSCI),1, #,#,#,#,#,#,#,#,#,#
MICR,4940,H,Whitehead Kristi James (0314-CSCI),2, #,#,#,#,#,#,#,#,#,#
MICR,4950,,Abercrombie John G (0314-CSCI),1, #,#,#,#,#,#,#,#,#,#
MICR,4950,,Rudolph Krista Barrier (0314-CSCI),15, 100.00,0,0,0,0,0,0,0,0,0
MICR,6140,,Wei Yanzhang  (0314-CSCI),1, #,#,#,#,#,#,#,#,#,#
MICR,6150,,Cao Min  (0314-CSCI),1, #,#,#,#,#,#,#,#,#,#
