Course,Number,Prefix,Prof_Name (Assigned Dept-College),Enrolled ,A,B,C,D,F,W,I ,*,P,F
ECON,8230,,Templeton Scott R. (1309-CBUS),15, 33.33,53.33,13.33,0,0,0,0,0,0,0
ECON,8240,,Lewis Matthew S (1309-CBUS),12, 66.67,33.33,0,0,0,0,0,0,0,0
ECON,8260,,Hazlett Thomas Winslow (1309-CBUS),6, #,#,#,#,#,#,#,#,#,#
ECON,8410,,Jerzmanowski Michal Maria (1309-CBUS),4, #,#,#,#,#,#,#,#,#,#
ECON,8550,,Mityakov Sergey Vladimirovich (1309-CBUS),10, 80.00,20.00,0,0,0,0,0,0,0,0
ECON,8910,,Baier Scott L. (1309-CBUS),1, #,#,#,#,#,#,#,#,#,#
ECON,8910,,Lewis Matthew S (1309-CBUS),1, #,#,#,#,#,#,#,#,#,#
ECON,8910,,Templeton Scott R. (1309-CBUS),1, #,#,#,#,#,#,#,#,#,#
ECON,8990,,Gorry Christopher Aspen (1309-CBUS),3, #,#,#,#,#,#,#,#,#,#
ECON,8990,,Harberger Arnold C (1309-CBUS),12, 91.67,0,0,0,0,8.33,0,0,0,0
ECON,8990,,Thomas Charles J (1309-CBUS),1, #,#,#,#,#,#,#,#,#,#
ECON,9500,,Dwyer Gerald P (1309-CBUS),5, #,#,#,#,#,#,#,#,#,#
ECON,9810,,Baier Scott L. (1309-CBUS),8, #,#,#,#,#,#,#,#,#,#
ECON,9820,,Dougan William R (1309-CBUS),12, 0,0,0,0,0,0,0,0,100.00,0
ECON,9820,,Hanssen Frederick Andrew (1309-CBUS),9, #,#,#,#,#,#,#,#,#,#
ECON,9820,,Simon Curtis J (1309-CBUS),15, 0,0,0,0,0,0,0,0,100.00,0
ECON,9820,,Tamura Robert F (1309-CBUS),9, #,#,#,#,#,#,#,#,#,#
ECON,9820,,Templeton Scott R. (1309-CBUS),1, #,#,#,#,#,#,#,#,#,#
ECON,9910,,Dougan William R (1309-CBUS),2, #,#,#,#,#,#,#,#,#,#
ECON,9910,,Dwyer Gerald P (1309-CBUS),6, #,#,#,#,#,#,#,#,#,#
ECON,9910,,Fleck Robert Kenneth (1309-CBUS),1, #,#,#,#,#,#,#,#,#,#
ECON,9910,,Hanssen Frederick Andrew (1309-CBUS),4, #,#,#,#,#,#,#,#,#,#
